30 seconds,1 minute,5 minutes,10 minutes,30 minutes,60 minutes,Transcript
0.659,4.695,6.309,6.399,1.126,14.784,A1
0.982,4.291,9.044,1.233,14.515,17.268,A1
1.924,4.085,3.376,9.762,7.627,9.143,A1
10.13,1.448,4.247,8.524,4.39,14.094,A1
5.69,6.704,4.946,8.085,10.829,10.201,A1
2.677,6.928,3.52,7.484,7.843,11.394,A1
6.39,6.677,5.089,6.04,17.69,19.035,A1
6.022,3.116,3.332,5.681,6.228,1.574,A1
1.161,2.785,10.076,8.928,2.264,14.192,A1
3.35,5.421,0.471,0.749,6.013,11.242,A1
7.735,2.408,11.735,10.354,1.287,12.031,A1
0.794,8.901,0.946,1.368,10.04,13.224,A1
0.596,0.39,6.524,1.951,6.758,9.879,A1
7.556,3.188,2.812,15.797,10.739,9.977,A1
4.39,3.556,1.735,1.161,11.349,15.439,A1
8.829,6.605,0.282,5.251,1.583,11.143,A1
9.753,4.139,7.278,4.103,7.251,5.403,A1
4.435,10.219,5.923,11.286,10.049,2.256,A1
14.129,0.803,0.013,5.367,21.223,11.932,A1
0.058,0.175,6.255,10.569,3.296,12.811,A1
5.825,4.489,4.408,0.103,2.112,0.525,A1
13.941,1.448,11.394,1.502,3.134,11.179,A1
2.471,2.578,5.654,12.47,2.614,7.762,A1
0.202,6.515,3.036,1.368,7.332,7.457,A1
1.61,0.605,2.498,2.336,4.094,10.085,A1
0.381,3.52,5.089,1.0,14.201,7.278,A1
0.175,0.946,4.632,13.798,11.852,5.314,A1
3.421,2.13,7.152,3.879,14.82,13.627,A1
8.39,2.928,12.031,0.587,5.843,4.076,A1
16.138,6.318,8.175,1.52,6.776,3.798,A1
0.345,2.049,5.018,10.148,6.399,4.668,A1
2.453,5.26,5.646,5.251,8.614,17.017,A1
9.421,0.426,8.085,3.807,7.089,13.771,A1
2.758,10.614,5.385,3.296,10.219,0.883,A1
4.013,2.04,0.614,13.34,3.879,0.157,A1
1.152,4.811,5.914,8.444,6.228,9.269,A1
6.498,4.946,2.139,10.004,12.757,13.277,A1
4.91,10.47,15.726,8.596,19.412,1.045,A1
